directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
2563,0,2563,2,1,2016-10-13 15:24:02,1,2016-11-11 00:00:00
2564,0,2564,3,1,2016-10-13 15:24:02,1,2016-11-11 00:00:00
2565,0,2565,4,1,2016-10-13 15:24:02,1,2016-11-11 00:00:00
2566,0,2566,5,1,2016-10-13 15:24:02,1,2016-11-11 00:00:00
2574,0,2574,1,1,2016-09-01 10:49:16,1,2016-11-11 00:00:00
2575,0,2575,2,1,2016-09-01 10:49:16,1,2016-11-11 00:00:00
2576,0,2576,3,1,2016-09-01 10:49:16,1,2016-11-11 00:00:00
2577,0,2577,4,1,2016-09-01 10:49:16,1,2016-11-11 00:00:00
2578,0,2578,5,1,2016-09-01 10:49:16,1,2016-11-11 00:00:00
2670,0,2670,1,1,2015-07-02 12:40:54,1,2016-11-11 00:00:00
2671,0,2671,2,1,2015-07-02 12:40:54,1,2016-11-11 00:00:00
2672,0,2672,3,1,2015-07-02 12:40:54,1,2016-11-11 00:00:00
2673,0,2673,4,1,2015-07-02 12:40:54,1,2016-11-11 00:00:00
2674,0,2674,5,1,2015-07-02 12:40:54,1,2016-11-11 00:00:00
2713,0,2713,1,1,2016-10-06 13:33:04,1,2016-11-11 00:00:00
2714,0,2714,2,1,2016-10-06 13:33:04,1,2016-11-11 00:00:00
2715,0,2715,3,1,2016-10-06 13:33:04,1,2016-11-11 00:00:00
2716,0,2716,4,1,2016-10-06 13:33:04,1,2016-11-11 00:00:00
2717,0,2717,5,1,2016-10-06 13:33:04,1,2016-11-11 00:00:00
2839,0,2839,1,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
2840,0,2840,2,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
2841,0,2841,3,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
2842,0,2842,4,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
2843,0,2843,5,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
2847,0,2847,1,1,2016-09-09 16:17:37,1,2016-11-11 00:00:00
2848,0,2848,2,1,2016-09-09 16:17:37,1,2016-11-11 00:00:00
2849,0,2849,3,1,2016-09-09 16:17:37,1,2016-11-11 00:00:00
2850,0,2850,4,1,2016-09-09 16:17:37,1,2016-11-11 00:00:00
2856,0,2856,1,1,2016-06-24 16:57:21,1,2016-11-11 00:00:00
2857,0,2857,2,1,2016-06-24 16:57:21,1,2016-11-11 00:00:00
2858,0,2858,3,1,2016-06-24 16:57:21,1,2016-11-11 00:00:00
2859,0,2859,4,1,2016-06-24 16:57:21,1,2016-11-11 00:00:00
2860,0,2860,1,1,2016-06-09 15:13:26,1,2016-11-11 00:00:00
2861,0,2861,2,1,2016-06-09 15:13:26,1,2016-11-11 00:00:00
2862,0,2862,3,1,2016-06-09 15:13:26,1,2016-11-11 00:00:00
2876,0,2876,1,1,2016-06-02 15:25:28,1,2016-11-11 00:00:00
2877,0,2877,2,1,2016-06-02 15:25:28,1,2016-11-11 00:00:00
2878,0,2878,3,1,2016-06-02 15:25:28,1,2016-11-11 00:00:00
2879,0,2879,4,1,2016-06-02 15:25:28,1,2016-11-11 00:00:00
2880,0,2880,1,1,2016-06-09 14:11:30,1,2016-11-11 00:00:00
2881,0,2881,2,1,2016-06-09 14:11:30,1,2016-11-11 00:00:00
2882,0,2882,3,1,2016-06-09 14:11:30,1,2016-11-11 00:00:00
2883,0,2883,4,1,2016-06-09 14:11:30,1,2016-11-11 00:00:00
2884,0,2884,1,1,2016-07-14 11:10:20,1,2016-11-11 00:00:00
2885,0,2885,2,1,2016-07-14 11:10:20,1,2016-11-11 00:00:00
2894,0,2894,1,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2895,0,2895,2,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2896,0,2896,3,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2897,0,2897,4,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2898,0,2898,5,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2899,0,2899,6,1,2016-08-04 14:02:04,1,2016-11-11 00:00:00
2905,0,2905,1,1,2016-09-21 09:21:51,1,2016-11-11 00:00:00
2906,0,2906,2,1,2016-09-21 09:21:51,1,2016-11-11 00:00:00
2907,0,2907,3,1,2016-09-21 09:21:51,1,2016-11-11 00:00:00
2908,0,2908,4,1,2016-09-21 09:21:51,1,2016-11-11 00:00:00
2909,0,2909,1,1,2016-02-10 15:45:41,1,2016-11-11 00:00:00
2910,0,2910,2,1,2016-02-10 15:45:41,1,2016-11-11 00:00:00
2911,0,2911,3,1,2016-02-10 15:45:41,1,2016-11-11 00:00:00
2912,0,2912,4,1,2016-02-10 15:45:41,1,2016-11-11 00:00:00
2920,0,2920,1,1,2016-08-04 15:23:39,1,2016-11-11 00:00:00
2921,0,2921,2,1,2016-08-04 15:23:39,1,2016-11-11 00:00:00
2922,0,2922,3,1,2016-08-04 15:23:39,1,2016-11-11 00:00:00
2923,0,2923,1,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2924,0,2924,2,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2925,0,2925,3,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2926,0,2926,4,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2927,0,2927,5,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2928,0,2928,6,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2929,0,2929,7,1,2016-06-09 13:39:31,1,2016-11-11 00:00:00
2945,0,2945,1,1,2016-09-08 14:55:48,1,2016-11-11 00:00:00
2946,0,2946,2,1,2016-09-08 14:55:48,1,2016-11-11 00:00:00
2947,0,2947,3,1,2016-09-08 14:55:48,1,2016-11-11 00:00:00
2948,0,2948,4,1,2016-09-08 14:55:48,1,2016-11-11 00:00:00
2987,0,2987,1,1,2016-09-01 10:50:04,1,2016-11-11 00:00:00
2988,0,2988,2,1,2016-09-01 10:50:04,1,2016-11-11 00:00:00
2989,0,2989,3,1,2016-09-01 10:50:04,1,2016-11-11 00:00:00
2990,0,2990,4,1,2016-09-01 10:50:04,1,2016-11-11 00:00:00
2991,0,2991,5,1,2016-09-01 10:50:04,1,2016-11-11 00:00:00
2998,0,2998,1,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
2999,0,2999,2,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
3000,0,3000,3,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
