ingredient_season_id,ingredient_id,season_start,season_end,created_id,created_at,updated_id,updated_at
169,170,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
178,179,101,1231,1,2014-04-10 00:00:00,1,2016-08-30 15:53:30
179,180,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
180,181,101,1231,1,2014-04-10 00:00:00,1,2015-08-24 09:43:00
181,182,101,1231,1,2014-04-10 00:00:00,1,2016-01-28 12:52:34
182,183,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
183,184,101,1231,1,2014-04-10 00:00:00,1,2015-06-16 10:17:14
184,186,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
185,187,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
186,188,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
187,189,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
188,190,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
189,191,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
191,193,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
192,194,101,1231,1,2014-04-10 00:00:00,1,2015-12-16 15:39:44
194,196,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
198,200,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
199,201,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
200,202,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
202,204,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
203,205,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
204,206,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
205,207,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
206,208,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
207,209,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
208,210,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
209,211,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
210,212,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
211,213,701,831,1,2014-04-10 00:00:00,1,2016-07-14 14:33:40
212,214,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
213,215,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
214,216,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
215,217,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
216,218,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
217,219,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
218,220,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
219,221,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
220,222,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
221,223,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
222,225,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
223,226,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
224,227,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
225,228,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
226,229,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
227,230,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
228,231,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
229,232,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
230,233,101,1231,1,2014-04-10 00:00:00,1,2015-06-16 16:09:51
231,234,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
232,235,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
233,236,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
