multiday_menu_list_id,multiday_menu_id,one_menu_id,cooking_day,cooking_time_zone_id,created_id,created_at,updated_id,updated_at
3691,870,14028,1,2,3,2017-01-16 13:30:54,3,2017-01-16 13:30:54
3696,871,14028,1,2,3,2017-01-16 13:32:56,3,2017-01-16 13:32:56
3693,870,14029,3,2,3,2017-01-16 13:30:54,3,2017-01-16 13:30:54
3698,871,14029,3,2,3,2017-01-16 13:32:56,3,2017-01-16 13:32:56
3703,872,14029,3,2,3,2017-01-16 13:35:39,3,2017-01-16 13:35:39
3708,873,14029,3,2,3,2017-01-16 13:38:11,3,2017-01-16 13:38:11
3713,874,14029,3,2,3,2017-01-16 13:42:32,3,2017-01-16 13:42:32
3697,871,14030,2,2,3,2017-01-16 13:32:56,3,2017-01-16 13:32:56
3702,872,14030,2,2,3,2017-01-16 13:35:39,3,2017-01-16 13:35:39
3707,873,14030,2,2,3,2017-01-16 13:38:11,3,2017-01-16 13:38:11
3712,874,14030,2,2,3,2017-01-16 13:42:32,3,2017-01-16 13:42:32
3717,875,14030,2,2,3,2017-01-16 13:56:15,3,2017-01-16 13:56:15
3722,876,14030,2,2,3,2017-01-16 14:06:33,3,2017-01-16 14:06:33
3701,872,14031,1,2,3,2017-01-16 13:35:39,3,2017-01-16 13:35:39
3706,873,14032,1,2,3,2017-01-16 13:38:11,3,2017-01-16 13:38:11
3711,874,14032,1,2,3,2017-01-16 13:42:32,3,2017-01-16 13:42:32
3716,875,14032,1,2,3,2017-01-16 13:56:15,3,2017-01-16 13:56:15
3724,877,14032,1,2,3,2017-01-16 14:12:59,3,2017-01-16 14:12:59
3710,874,14033,0,2,3,2017-01-16 13:42:32,3,2017-01-16 13:42:32
3715,875,14033,0,2,3,2017-01-16 13:56:15,3,2017-01-16 13:56:15
3720,876,14033,0,2,3,2017-01-16 14:06:33,3,2017-01-16 14:06:33
3723,877,14033,0,2,3,2017-01-16 14:12:59,3,2017-01-16 14:12:59
3728,878,14033,0,2,3,2017-01-16 14:13:28,3,2017-01-16 14:13:28
3718,875,14034,3,2,3,2017-01-16 13:56:15,3,2017-01-16 13:56:15
3726,877,14034,3,2,3,2017-01-16 14:12:59,3,2017-01-16 14:12:59
3779,889,14034,4,2,3,2017-01-17 09:42:54,3,2017-01-17 09:42:54
3721,876,14035,1,2,3,2017-01-16 14:06:33,3,2017-01-16 14:06:33
3729,878,14035,1,2,3,2017-01-16 14:13:28,3,2017-01-16 14:13:28
3725,877,14036,2,2,3,2017-01-16 14:12:59,3,2017-01-16 14:12:59
3730,878,14036,2,2,3,2017-01-16 14:13:28,3,2017-01-16 14:13:28
3785,891,14036,2,2,3,2017-01-17 10:14:39,3,2017-01-17 10:14:39
3790,892,14036,2,2,3,2017-01-17 10:15:44,3,2017-01-17 10:15:44
3796,893,14036,3,2,3,2017-01-17 10:22:54,3,2017-01-17 10:22:54
3801,894,14036,3,2,3,2017-01-17 10:24:27,3,2017-01-17 10:24:27
3806,895,14036,3,2,3,2017-01-17 11:20:46,3,2017-01-17 11:20:46
3811,896,14036,3,2,3,2017-01-17 11:57:31,3,2017-01-17 11:57:31
3843,904,14036,3,2,3,2017-01-27 12:15:08,3,2017-01-27 12:15:08
3925,922,14036,3,2,3,2017-02-16 10:44:44,3,2017-02-16 10:44:44
8559,1952,14036,4,2,11,2017-09-04 15:47:22,11,2017-09-04 15:47:22
3731,879,14038,0,2,3,2017-01-16 15:51:42,3,2017-01-16 15:51:42
3736,880,14038,0,2,3,2017-01-16 15:59:10,3,2017-01-16 15:59:10
3746,882,14038,0,2,3,2017-01-16 16:45:45,3,2017-01-16 16:45:45
3757,885,14038,0,2,3,2017-01-17 08:58:45,3,2017-01-17 08:58:45
3770,888,14038,0,2,3,2017-01-17 09:03:10,3,2017-01-17 09:03:10
3775,889,14038,0,2,3,2017-01-17 09:42:54,3,2017-01-17 09:42:54
3780,890,14038,0,2,3,2017-01-17 09:51:31,3,2017-01-17 09:51:31
3732,879,14039,1,2,3,2017-01-16 15:51:42,3,2017-01-16 15:51:42
3737,880,14039,1,2,3,2017-01-16 15:59:10,3,2017-01-16 15:59:10
3747,882,14039,1,2,3,2017-01-16 16:45:45,3,2017-01-16 16:45:45
3751,883,14039,0,2,3,2017-01-16 16:48:17,3,2017-01-16 16:48:17
3754,884,14039,0,2,3,2017-01-16 16:49:42,3,2017-01-16 16:49:42
3758,885,14039,1,2,3,2017-01-17 08:58:45,3,2017-01-17 08:58:45
3771,888,14039,1,2,3,2017-01-17 09:03:11,3,2017-01-17 09:03:11
3776,889,14039,1,2,3,2017-01-17 09:42:54,3,2017-01-17 09:42:54
3733,879,14040,2,2,3,2017-01-16 15:51:42,3,2017-01-16 15:51:42
3734,879,14041,3,2,3,2017-01-16 15:51:42,3,2017-01-16 15:51:42
3739,880,14041,3,2,3,2017-01-16 15:59:10,3,2017-01-16 15:59:10
3735,879,14042,4,2,3,2017-01-16 15:51:42,3,2017-01-16 15:51:42
3738,880,14043,2,2,3,2017-01-16 15:59:10,3,2017-01-16 15:59:10
3748,882,14043,2,2,3,2017-01-16 16:45:45,3,2017-01-16 16:45:45
3759,885,14043,2,2,3,2017-01-17 08:58:45,3,2017-01-17 08:58:45
3772,888,14043,2,2,3,2017-01-17 09:03:11,3,2017-01-17 09:03:11
3777,889,14043,2,2,3,2017-01-17 09:42:54,3,2017-01-17 09:42:54
3781,890,14043,1,2,3,2017-01-17 09:51:31,3,2017-01-17 09:51:31
3740,880,14044,4,2,3,2017-01-16 15:59:10,3,2017-01-16 15:59:10
3745,881,14044,4,2,3,2017-01-16 16:38:12,3,2017-01-16 16:38:12
3750,882,14044,4,2,3,2017-01-16 16:45:45,3,2017-01-16 16:45:45
3741,881,14046,0,2,3,2017-01-16 16:38:12,3,2017-01-16 16:38:12
3742,881,14047,1,2,3,2017-01-16 16:38:12,3,2017-01-16 16:38:12
3743,881,14048,2,2,3,2017-01-16 16:38:12,3,2017-01-16 16:38:12
3744,881,14049,3,2,3,2017-01-16 16:38:12,3,2017-01-16 16:38:12
3749,882,14051,3,2,3,2017-01-16 16:45:45,3,2017-01-16 16:45:45
3752,883,14053,1,2,3,2017-01-16 16:48:17,3,2017-01-16 16:48:17
3753,883,14054,2,2,3,2017-01-16 16:48:17,3,2017-01-16 16:48:17
3760,885,14054,3,2,3,2017-01-17 08:58:45,3,2017-01-17 08:58:45
3773,888,14054,3,2,3,2017-01-17 09:03:11,3,2017-01-17 09:03:11
3778,889,14054,3,2,3,2017-01-17 09:42:54,3,2017-01-17 09:42:54
3782,890,14054,2,2,3,2017-01-17 09:51:31,3,2017-01-17 09:51:31
3755,884,14055,1,2,3,2017-01-16 16:49:42,3,2017-01-16 16:49:42
3756,884,14056,2,2,3,2017-01-16 16:49:42,3,2017-01-16 16:49:42
3761,885,14071,4,2,3,2017-01-17 08:58:45,3,2017-01-17 08:58:45
3763,886,14072,1,2,3,2017-01-17 09:01:28,3,2017-01-17 09:01:28
3768,887,14072,1,2,3,2017-01-17 09:02:02,3,2017-01-17 09:02:02
3846,905,14072,1,2,3,2017-01-27 15:05:45,3,2017-01-27 15:05:45
3851,906,14072,1,2,3,2017-01-27 15:20:18,3,2017-01-27 15:20:18
3774,888,14073,4,2,3,2017-01-17 09:03:11,3,2017-01-17 09:03:11
3787,891,14073,4,2,3,2017-01-17 10:14:39,3,2017-01-17 10:14:39
3792,892,14073,4,2,3,2017-01-17 10:15:44,3,2017-01-17 10:15:44
3797,893,14073,4,2,3,2017-01-17 10:22:54,3,2017-01-17 10:22:54
3783,891,14074,0,2,3,2017-01-17 10:14:39,3,2017-01-17 10:14:39
3786,891,14075,3,2,3,2017-01-17 10:14:39,3,2017-01-17 10:14:39
3791,892,14076,3,2,3,2017-01-17 10:15:44,3,2017-01-17 10:15:44
3794,893,14077,1,2,3,2017-01-17 10:22:54,3,2017-01-17 10:22:54
3799,894,14077,1,2,3,2017-01-17 10:24:27,3,2017-01-17 10:24:27
3795,893,14078,2,2,3,2017-01-17 10:22:54,3,2017-01-17 10:22:54
3800,894,14078,2,2,3,2017-01-17 10:24:27,3,2017-01-17 10:24:27
3802,894,14079,4,2,3,2017-01-17 10:24:27,3,2017-01-17 10:24:27
3807,895,14079,4,2,3,2017-01-17 11:20:46,3,2017-01-17 11:20:46
3812,896,14079,4,2,3,2017-01-17 11:57:31,3,2017-01-17 11:57:31
3815,897,14079,2,2,3,2017-01-17 13:12:54,3,2017-01-17 13:12:54
3818,898,14079,2,2,3,2017-01-17 13:17:42,3,2017-01-17 13:17:42
3821,899,14079,2,2,3,2017-01-17 13:28:49,3,2017-01-17 13:28:49
3803,895,14082,0,2,3,2017-01-17 11:20:46,3,2017-01-17 11:20:46
3813,897,14082,0,2,3,2017-01-17 13:12:54,3,2017-01-17 13:12:54
3816,898,14082,0,2,3,2017-01-17 13:17:42,3,2017-01-17 13:17:42
3819,899,14082,0,2,3,2017-01-17 13:28:49,3,2017-01-17 13:28:49
3922,922,14082,0,2,3,2017-02-16 10:44:44,3,2017-02-16 10:44:44
3804,895,14083,1,2,3,2017-01-17 11:20:46,3,2017-01-17 11:20:46
3809,896,14083,1,2,3,2017-01-17 11:57:31,3,2017-01-17 11:57:31
3814,897,14083,1,2,3,2017-01-17 13:12:54,3,2017-01-17 13:12:54
3841,904,14083,1,2,3,2017-01-27 12:15:08,3,2017-01-27 12:15:08
3923,922,14083,1,2,3,2017-02-16 10:44:44,3,2017-02-16 10:44:44
3805,895,14084,2,2,3,2017-01-17 11:20:46,3,2017-01-17 11:20:46
3924,922,14084,2,2,3,2017-02-16 10:44:44,3,2017-02-16 10:44:44
3808,896,14091,0,2,3,2017-01-17 11:57:31,3,2017-01-17 11:57:31
3840,904,14091,0,2,3,2017-01-27 12:15:08,3,2017-01-27 12:15:08
3810,896,14092,2,2,3,2017-01-17 11:57:31,3,2017-01-17 11:57:31
3842,904,14092,2,2,3,2017-01-27 12:15:08,3,2017-01-27 12:15:08
3817,898,14101,1,2,3,2017-01-17 13:17:42,3,2017-01-17 13:17:42
3820,899,14102,1,2,3,2017-01-17 13:28:49,3,2017-01-17 13:28:49
3822,900,14126,0,2,3,2017-01-19 10:29:03,3,2017-01-19 10:29:03
3823,900,14127,1,2,3,2017-01-19 10:29:03,3,2017-01-19 10:29:03
3824,900,14128,2,2,3,2017-01-19 10:29:03,3,2017-01-19 10:29:03
3825,900,14129,3,2,3,2017-01-19 10:29:03,3,2017-01-19 10:29:03
3826,900,14130,4,2,3,2017-01-19 10:29:03,3,2017-01-19 10:29:03
3827,901,14139,0,2,3,2017-01-19 14:14:54,3,2017-01-19 14:14:54
3828,901,14140,1,2,3,2017-01-19 14:14:54,3,2017-01-19 14:14:54
3829,901,14141,2,2,3,2017-01-19 14:14:54,3,2017-01-19 14:14:54
3830,901,14142,3,2,3,2017-01-19 14:14:54,3,2017-01-19 14:14:54
3831,901,14143,4,2,3,2017-01-19 14:14:54,3,2017-01-19 14:14:54
11249,2547,14154,0,2,5,2018-01-25 18:33:57,5,2018-01-25 18:33:57
11254,2548,14154,0,2,5,2018-01-25 18:39:07,5,2018-01-25 18:39:07
11259,2549,14154,0,2,5,2018-01-25 18:46:01,5,2018-01-25 18:46:01
11269,2551,14154,0,2,5,2018-01-26 10:30:53,5,2018-01-26 10:30:53
11295,2559,14154,0,2,5,2018-01-31 11:17:10,5,2018-01-31 11:17:10
11298,2560,14154,0,2,5,2018-01-31 11:27:15,5,2018-01-31 11:27:15
3835,902,14184,3,2,3,2017-01-20 09:41:30,3,2017-01-20 09:41:30
3839,903,14185,2,2,3,2017-01-20 09:48:47,3,2017-01-20 09:48:47
4456,1039,14284,2,2,9,2017-04-05 11:45:43,9,2017-04-05 11:45:43
4461,1040,14284,2,2,9,2017-04-05 11:48:12,9,2017-04-05 11:48:12
11563,2623,14466,4,2,5,2018-02-09 18:02:33,5,2018-02-09 18:02:33
11568,2624,14466,4,2,5,2018-02-09 18:09:20,5,2018-02-09 18:09:20
11573,2625,14466,4,2,5,2018-02-09 18:18:10,5,2018-02-09 18:18:10
11578,2626,14466,4,2,5,2018-02-09 18:33:21,5,2018-02-09 18:33:21
11586,2628,14466,4,2,5,2018-02-10 15:24:45,5,2018-02-10 15:24:45
3844,904,14489,4,2,3,2017-01-27 12:15:08,3,2017-01-27 12:15:08
3926,922,14489,4,2,3,2017-02-16 10:44:44,3,2017-02-16 10:44:44
3849,905,14502,4,2,3,2017-01-27 15:05:45,3,2017-01-27 15:05:45
3853,907,14510,0,2,3,2017-01-27 16:18:52,3,2017-01-27 16:18:52
3854,907,14511,1,2,3,2017-01-27 16:18:52,3,2017-01-27 16:18:52
3859,908,14511,1,2,3,2017-01-27 16:39:58,3,2017-01-27 16:39:58
3877,912,14511,1,2,3,2017-02-06 13:42:28,3,2017-02-06 13:42:28
3961,930,14511,1,2,3,2017-02-22 13:38:43,3,2017-02-22 13:38:43
3855,907,14512,2,2,3,2017-01-27 16:18:52,3,2017-01-27 16:18:52
3860,908,14512,2,2,3,2017-01-27 16:39:58,3,2017-01-27 16:39:58
3878,912,14512,2,2,3,2017-02-06 13:42:28,3,2017-02-06 13:42:28
3962,930,14512,2,2,3,2017-02-22 13:38:43,3,2017-02-22 13:38:43
3967,931,14512,2,2,3,2017-02-22 13:41:55,3,2017-02-22 13:41:55
3970,932,14512,2,2,3,2017-02-23 09:37:06,3,2017-02-23 09:37:06
3977,934,14512,1,2,3,2017-02-23 10:15:34,3,2017-02-23 10:15:34
3856,907,14513,3,2,3,2017-01-27 16:18:52,3,2017-01-27 16:18:52
3857,907,14514,4,2,3,2017-01-27 16:18:52,3,2017-01-27 16:18:52
3858,908,14515,0,2,3,2017-01-27 16:39:58,3,2017-01-27 16:39:58
3876,912,14515,0,2,3,2017-02-06 13:42:28,3,2017-02-06 13:42:28
3899,917,14515,0,2,3,2017-02-09 17:03:32,3,2017-02-09 17:03:32
3960,930,14515,0,2,3,2017-02-22 13:38:43,3,2017-02-22 13:38:43
3965,931,14515,0,2,3,2017-02-22 13:41:55,3,2017-02-22 13:41:55
3968,932,14515,0,2,3,2017-02-23 09:37:06,3,2017-02-23 09:37:06
3973,933,14515,0,2,3,2017-02-23 09:43:16,3,2017-02-23 09:43:16
3976,934,14515,0,2,3,2017-02-23 10:15:34,3,2017-02-23 10:15:34
3981,935,14515,0,2,3,2017-02-23 10:18:34,3,2017-02-23 10:18:34
3861,908,14516,3,2,3,2017-01-27 16:39:58,3,2017-01-27 16:39:58
3879,912,14516,3,2,3,2017-02-06 13:42:28,3,2017-02-06 13:42:28
3862,908,14517,4,2,3,2017-01-27 16:39:58,3,2017-01-27 16:39:58
3864,909,14519,1,2,3,2017-01-27 17:08:37,3,2017-01-27 17:08:37
3900,917,14519,1,2,3,2017-02-09 17:03:32,3,2017-02-09 17:03:32
3865,909,14520,2,2,3,2017-01-27 17:08:37,3,2017-01-27 17:08:37
12422,2832,14621,2,2,5,2018-04-15 10:45:49,5,2018-04-15 10:45:49
12696,2897,14727,4,2,15,2018-04-25 12:50:14,15,2018-04-25 12:50:14
12725,2906,14727,4,2,15,2018-04-25 13:45:07,15,2018-04-25 13:45:07
3866,910,14744,0,2,3,2017-02-02 13:41:01,3,2017-02-02 13:41:01
3867,910,14745,1,2,3,2017-02-02 13:41:01,3,2017-02-02 13:41:01
3868,910,14746,2,2,3,2017-02-02 13:41:01,3,2017-02-02 13:41:01
3869,910,14747,3,2,3,2017-02-02 13:41:01,3,2017-02-02 13:41:01
3870,910,14748,4,2,3,2017-02-02 13:41:01,3,2017-02-02 13:41:01
3875,911,14748,4,2,3,2017-02-06 13:17:52,3,2017-02-06 13:17:52
3885,913,14748,4,2,3,2017-02-06 14:03:00,3,2017-02-06 14:03:00
10494,2378,14771,3,2,11,2017-11-30 11:56:27,11,2017-11-30 11:56:27
3871,911,14960,0,2,3,2017-02-06 13:17:52,3,2017-02-06 13:17:52
3882,913,14960,1,2,3,2017-02-06 14:03:00,3,2017-02-06 14:03:00
3872,911,14961,1,2,3,2017-02-06 13:17:52,3,2017-02-06 13:17:52
3883,913,14961,2,2,3,2017-02-06 14:03:00,3,2017-02-06 14:03:00
6844,1580,14961,2,2,11,2017-07-03 15:01:59,11,2017-07-03 15:01:59
3873,911,14962,2,2,3,2017-02-06 13:17:52,3,2017-02-06 13:17:52
3874,911,14963,3,2,3,2017-02-06 13:17:52,3,2017-02-06 13:17:52
3880,912,14964,4,2,3,2017-02-06 13:42:28,3,2017-02-06 13:42:28
3964,930,14964,4,2,3,2017-02-22 13:38:43,3,2017-02-22 13:38:43
3972,932,14964,4,2,3,2017-02-23 09:37:06,3,2017-02-23 09:37:06
3980,934,14964,4,2,3,2017-02-23 10:15:34,3,2017-02-23 10:15:34
3983,935,14964,2,2,3,2017-02-23 10:18:34,3,2017-02-23 10:18:34
3881,913,14965,0,2,3,2017-02-06 14:03:00,3,2017-02-06 14:03:00
