recipe_ingredient_id,recipe_id,ingredient_id,holiday_flag,mark_id,created_id,created_at,updated_id,updated_at
35120,1905,395,0,1,9,2017-06-01 14:57:02,9,2017-06-01 14:57:02
35121,1905,326,0,1,9,2017-06-01 14:57:02,9,2017-06-01 14:57:02
35122,1905,335,0,,9,2017-06-01 14:57:02,9,2017-06-01 14:57:02
35132,1925,23,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35133,1925,334,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35134,1925,385,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35135,1925,326,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35136,1925,284,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35137,1925,293,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35138,1925,339,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35139,1925,287,0,,9,2017-06-01 14:59:17,9,2017-06-01 14:59:17
35140,1928,60,0,,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35141,1928,70,0,,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35142,1928,284,0,,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35143,1928,303,0,1,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35144,1928,409,0,1,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35145,1928,293,0,1,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35146,1928,289,0,1,9,2017-06-01 15:00:38,9,2017-06-01 15:00:38
35156,1938,66,0,,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35157,1938,180,0,,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35158,1938,296,0,1,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35159,1938,291,0,1,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35160,1938,293,0,1,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35161,1938,289,0,1,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35162,1938,318,0,1,9,2017-06-01 15:02:50,9,2017-06-01 15:02:50
35170,1946,460,0,,9,2017-06-01 15:04:33,9,2017-06-01 15:04:33
35171,1946,40,0,,9,2017-06-01 15:04:33,9,2017-06-01 15:04:33
35172,1946,332,0,,9,2017-06-01 15:04:33,9,2017-06-01 15:04:33
35173,1946,296,0,1,9,2017-06-01 15:04:33,9,2017-06-01 15:04:33
35174,1946,289,0,1,9,2017-06-01 15:04:34,9,2017-06-01 15:04:34
35175,1946,293,0,1,9,2017-06-01 15:04:34,9,2017-06-01 15:04:34
35176,1946,468,0,,9,2017-06-01 15:04:34,9,2017-06-01 15:04:34
35177,1946,401,0,,9,2017-06-01 15:04:34,9,2017-06-01 15:04:34
35178,1946,394,0,,9,2017-06-01 15:04:34,9,2017-06-01 15:04:34
35179,1954,4,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35180,1954,12,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35181,1954,37,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35182,1954,115,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35183,1954,360,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35184,1954,284,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35185,1954,293,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35186,1954,331,0,,9,2017-06-01 15:06:00,9,2017-06-01 15:06:00
35199,1958,65,1,,9,2017-06-01 15:10:32,9,2017-06-01 15:10:32
35200,1958,35,1,,9,2017-06-01 15:10:32,9,2017-06-01 15:10:32
35201,1958,496,1,1,9,2017-06-01 15:10:32,9,2017-06-01 15:10:32
35202,1958,293,1,1,9,2017-06-01 15:10:32,9,2017-06-01 15:10:32
35203,1958,458,1,1,9,2017-06-01 15:10:32,9,2017-06-01 15:10:32
35233,1982,136,1,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35234,1982,70,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35235,1982,45,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35236,1982,293,1,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35237,1982,332,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35238,1982,284,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35239,1982,287,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35240,1982,321,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35241,1982,310,0,,9,2017-06-01 15:36:32,9,2017-06-01 15:36:32
35242,1983,69,1,,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35243,1983,130,1,,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35244,1983,296,1,1,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35245,1983,293,1,1,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35246,1983,291,1,1,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35247,1983,289,1,1,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35248,1983,318,1,1,9,2017-06-01 15:36:58,9,2017-06-01 15:36:58
35274,1987,176,1,,9,2017-06-01 15:38:32,9,2017-06-01 15:38:32
35275,1987,293,0,,9,2017-06-01 15:38:32,9,2017-06-01 15:38:32
35276,1987,338,0,,9,2017-06-01 15:38:32,9,2017-06-01 15:38:32
35277,1987,496,0,,9,2017-06-01 15:38:32,9,2017-06-01 15:38:32
35570,2106,163,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35571,2106,208,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35572,2106,70,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35573,2106,284,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35574,2106,293,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35575,2106,405,1,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35576,2106,332,0,,9,2017-06-01 15:57:31,9,2017-06-01 15:57:31
35699,2134,101,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35700,2134,83,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35701,2134,45,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35702,2134,44,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35703,2134,296,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35704,2134,293,1,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35705,2134,405,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
