one_menu_id,menu_composed_of_recipe_ids,created_id,created_at,updated_id,updated_at
437,"1935,1776,199",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
438,"1848,1879,1876",1,2016-01-12 16:16:44,1,2016-01-12 16:16:44
439,"1857,1836,1808",1,2016-01-12 16:16:44,1,2016-01-12 16:16:44
440,"1864,1899,1816",1,2016-01-12 16:16:44,1,2016-01-12 16:16:44
441,"1858,1835,1893",1,2016-01-12 16:16:44,1,2016-01-12 16:16:44
442,"1846,1861,1826",1,2016-01-12 16:16:44,1,2016-01-12 16:16:44
443,"1869,1886,1877",1,2016-01-07 12:52:18,1,2016-01-07 12:52:18
444,"1900,1883,1878",1,2016-01-07 12:52:18,1,2016-01-07 12:52:18
445,"1854,1898,1897",1,2016-01-07 12:52:18,1,2016-01-07 12:52:18
446,"1927,1889,1882",1,2016-01-07 12:52:18,1,2016-01-07 12:52:18
447,"1865,1822,1824",1,2016-01-07 12:52:18,1,2016-01-07 12:52:18
448,"1934,1939",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
449,"1730,268,127",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
450,"1659,67,23",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
451,"339,125,198",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
452,"14,1799",1,2015-07-07 15:56:08,1,2015-07-07 15:56:08
