directions_detail_pattern_id,previous_process,created_id,created_at,updated_id,updated_at,previous_dependence_level
86286,8,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86287,9,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86288,10,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86289,11,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86290,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86291,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86292,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86293,1,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86293,2,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86293,3,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86294,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86295,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86296,0,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86297,4,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86297,5,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86298,8,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86299,9,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86300,6,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86300,10,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86301,7,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86301,11,12,2017-12-06 19:46:25,12,2017-12-06 19:46:25,0
86302,0,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86303,0,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86304,1,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86304,2,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86305,3,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86306,0,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86307,4,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86307,5,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86308,6,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86309,0,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86310,1,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86311,2,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86312,3,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86313,0,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86314,4,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86314,5,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86315,6,12,2017-12-06 19:48:21,12,2017-12-06 19:48:21,0
86316,0,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86317,1,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86318,2,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86319,3,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86320,0,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86321,0,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86322,1,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,1
86322,2,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,1
86323,3,11,2017-12-07 09:30:40,11,2017-12-07 09:30:40,0
86324,0,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86325,0,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86326,1,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86327,2,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86327,3,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86328,4,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86329,0,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86330,0,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86331,1,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86332,2,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86332,3,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86333,4,11,2017-12-07 09:31:30,11,2017-12-07 09:31:30,0
86344,0,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86345,1,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86346,2,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86347,3,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86348,0,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86349,1,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86350,2,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86351,3,11,2017-12-07 09:35:22,11,2017-12-07 09:35:22,0
86408,0,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86409,1,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86410,2,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86411,3,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86412,0,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86413,1,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86414,0,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86415,2,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86415,3,11,2017-12-07 14:22:08,11,2017-12-07 14:22:08,0
86449,0,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,0
86450,0,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,0
