role_id,function_id,enable_flag,created_id,created_at,updated_id,updated_at
1,Quantity_Unit:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Quantity_Unit:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Rcmd_Recipe_List:create,0,1,2017-08-09 08:40:15.897,1,2017-08-09 08:40:15.897
1,Rcmd_Recipe_List:delete,0,1,2017-08-09 08:40:15.897,1,2017-08-09 08:40:15.897
1,Rcmd_Recipe_List:search,0,1,2017-08-09 08:40:15.897,1,2017-08-09 08:40:15.897
1,Rcmd_Recipe_List:update,0,1,2017-08-09 08:40:15.897,1,2017-08-09 08:40:15.897
1,Recipes:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Recipes:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Recipes:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Recipes:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Resource:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Resource:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Resource:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Resource:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Rice_Nutrition:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Rice_Nutrition:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Rice_Nutrition:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Rice_Nutrition:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Shelf_Life:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Shelf_Life:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Shelf_Life:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Shelf_Life:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
2,Author:create,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Author:delete,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Author:search,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Author:update,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Btob_Client_Contract_Courses:create,0,1,2017-04-06 05:51:51.133,1,2017-04-06 05:51:51.133
2,Btob_Client_Contract_Courses:delete,0,1,2017-04-06 05:51:51.133,1,2017-04-06 05:51:51.133
2,Btob_Client_Contract_Courses:search,0,1,2017-04-06 05:51:51.12,1,2017-04-06 05:51:51.12
2,Btob_Client_Contract_Courses:update,0,1,2017-04-06 05:51:51.133,1,2017-04-06 05:51:51.133
2,Btob_Client_Contracts:create,0,1,2017-04-06 05:51:51.103,1,2017-04-06 05:51:51.103
2,Btob_Client_Contracts:delete,0,1,2017-04-06 05:51:51.103,1,2017-04-06 05:51:51.103
2,Btob_Client_Contracts:search,0,1,2017-04-06 05:51:51.103,1,2017-04-06 05:51:51.103
2,Btob_Client_Contracts:update,0,1,2017-04-06 05:51:51.103,1,2017-04-06 05:51:51.103
2,Btob_Clients:create,0,1,2017-04-06 05:51:51.07,1,2017-04-06 05:51:51.07
2,Btob_Clients:delete,0,1,2017-04-06 05:51:51.07,1,2017-04-06 05:51:51.07
2,Btob_Clients:search,0,1,2017-04-06 05:51:51.07,1,2017-04-06 05:51:51.07
2,Btob_Clients:update,0,1,2017-04-06 05:51:51.07,1,2017-04-06 05:51:51.07
2,Btob_Design_Themes:create,0,1,2017-04-06 05:51:51.04,1,2017-04-06 05:51:51.04
2,Btob_Design_Themes:delete,0,1,2017-04-06 05:51:51.04,1,2017-04-06 05:51:51.04
2,Btob_Design_Themes:search,0,1,2017-04-06 05:51:51.027,1,2017-04-06 05:51:51.027
2,Btob_Design_Themes:update,0,1,2017-04-06 05:51:51.04,1,2017-04-06 05:51:51.04
2,Contents_Profiles:create,0,1,2017-08-09 08:40:15.863,1,2017-08-09 08:40:15.863
2,Contents_Profiles:delete,0,1,2017-08-09 08:40:15.88,1,2017-08-09 08:40:15.88
2,Contents_Profiles:search,0,1,2017-08-09 08:40:15.863,1,2017-08-09 08:40:15.863
2,Contents_Profiles:update,0,1,2017-08-09 08:40:15.863,1,2017-08-09 08:40:15.863
2,Cook_Ahead:create,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cook_Ahead:delete,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cook_Ahead:search,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cook_Ahead:update,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cooking_Method:create,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cooking_Method:delete,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cooking_Method:search,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Cooking_Method:update,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Courses:create,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Courses:delete,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Courses:search,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Courses:update,1,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Defrosting_methods:create,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Defrosting_methods:delete,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
2,Defrosting_methods:search,0,4,2017-02-06 10:16:52,4,2017-02-06 10:16:52
